DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2007,ES,1,ES21,1, ,-2,1768.96061,1,3,1
2007,ES,2,ES21,1, ,-2,2164.27817,1,3,1
2007,ES,3,ES21,1, ,-2,712.51898,1,3,1
2007,ES,5,ES21,1, ,-2,2099.08698,1,1,1
2007,ES,6,ES21,1, ,-2,1759.78290,1,1,1
2007,ES,7,ES21,1, ,-2,1237.91675,1,1,1
2007,ES,8,ES21,1, ,-2,853.81861,1,1,1
2007,ES,10,ES21,1, ,-2,1330.98158,1,1,1
2007,ES,11,ES41,1, ,-2,2482.97687,1,3,1
2007,ES,12,ES41,1, ,-2,2330.09465,1,3,1
2007,ES,13,ES21,1, ,-2,391.93207,1,1,1
2007,ES,14,ES21,1, ,-2,2289.11769,1,1,1
2007,ES,15,ES21,1, ,-2,1660.39625,1,1,1
2007,ES,16,ES42,1, ,-2,1193.17241,1,2,1
2007,ES,17,ES42,1, ,-2,2006.77158,1,2,1
2007,ES,18,ES42,1, ,-2,706.14272,1,2,1
2007,ES,19,ES42,1, ,-2,940.90154,1,2,1
2007,ES,20,ES42,1, ,-2,1518.27326,1,2,1
2007,ES,22,ES42,1, ,-2,889.17752,1,2,1
2007,ES,23,ES42,1, ,-2,1039.55666,1,2,1
2007,ES,24,ES42,1, ,-2,1153.33947,1,3,1
2007,ES,25,ES42,1, ,-2,1580.45034,1,3,1
2007,ES,26,ES42,1, ,-2,3331.58732,1,3,1
2007,ES,27,ES42,1, ,-2,859.64651,1,3,1
2007,ES,29,ES42,1, ,-2,1742.73627,1,3,1
2007,ES,30,ES42,1, ,-2,1153.33947,1,3,1
2007,ES,31,ES42,1, ,-2,423.41274,1,3,1
2007,ES,32,ES42,1, ,-2,902.20863,1,3,1
2007,ES,33,ES42,1, ,-2,1742.73627,1,3,1
2007,ES,35,ES42,1, ,-2,918.34689,1,3,1
2007,ES,37,ES52,1, ,-2,1093.18631,1,2,1
2007,ES,38,ES52,1, ,-2,548.32104,1,2,1
2007,ES,39,ES52,1, ,-2,1476.65067,1,2,1
2007,ES,40,ES52,1, ,-2,2039.69257,1,2,1
2007,ES,41,ES52,1, ,-2,1118.53286,1,2,1
2007,ES,42,ES52,1, ,-2,636.57137,1,2,1
2007,ES,43,ES52,1, ,-2,1889.93010,1,2,1
2007,ES,44,ES52,1, ,-2,1469.89420,1,2,1
2007,ES,46,ES52,1, ,-2,2779.82618,1,2,1
2007,ES,47,ES52,1, ,-2,1381.02408,1,1,1
2007,ES,48,ES52,1, ,-2,1375.46218,1,1,1
2007,ES,49,ES52,1, ,-2,1973.04245,1,1,1
2007,ES,50,ES52,1, ,-2,1118.27845,1,1,1
2007,ES,51,ES52,1, ,-2,2086.35098,1,1,1
2007,ES,52,ES52,1, ,-2,3080.79550,1,1,1
2007,ES,53,ES52,1, ,-2,1821.15652,1,1,1
2007,ES,54,ES52,1, ,-2,1377.07247,1,1,1
2007,ES,55,ES52,1, ,-2,837.60923,1,1,1
2007,ES,56,ES52,1, ,-2,947.96149,1,1,1
2007,ES,58,ES52,1, ,-2,770.63854,1,1,1
2007,ES,59,ES52,1, ,-2,1973.04245,1,1,1
2007,ES,60,ES52,1, ,-2,3561.32176,1,1,1
2007,ES,61,ES52,1, ,-2,3174.02102,1,1,1
2007,ES,62,ES52,1, ,-2,4487.95706,1,1,1
2007,ES,63,ES52,1, ,-2,886.37690,1,1,1
2007,ES,64,ES52,1, ,-2,3135.78050,1,1,1
2007,ES,65,ES52,1, ,-2,4636.98000,1,1,1
2007,ES,66,ES52,1, ,-2,3019.33104,1,1,1
2007,ES,67,ES52,1, ,-2,1795.28500,1,1,1
2007,ES,68,ES52,1, ,-2,1555.93388,1,1,1
2007,ES,70,ES52,1, ,-2,792.84516,1,1,1
2007,ES,71,ES52,1, ,-2,333.31138,1,1,1
2007,ES,72,ES52,1, ,-2,1686.20078,1,2,1
2007,ES,73,ES52,1, ,-2,7453.64715,1,2,1
2007,ES,74,ES52,1, ,-2,14649.96813,1,2,1
2007,ES,76,ES52,1, ,-2,1686.20078,1,1,1
2007,ES,77,ES52,1, ,-2,958.35287,1,2,1
2007,ES,78,ES52,1, ,-2,1788.90315,1,2,1
2007,ES,79,ES52,1, ,-2,691.21885,1,2,1
2007,ES,80,ES52,1, ,-2,1180.13921,1,2,1
2007,ES,81,ES52,1, ,-2,2456.89718,1,2,1
2007,ES,82,ES52,1, ,-2,1287.10516,1,2,1
2007,ES,83,ES52,1, ,-2,1052.59812,1,2,1
2007,ES,84,ES52,1, ,-2,2911.38519,1,2,1
2007,ES,85,ES52,1, ,-2,3206.06269,1,2,1
2007,ES,86,ES52,1, ,-2,1317.11315,1,2,1
2007,ES,87,ES52,1, ,-2,1212.69251,1,2,1
2007,ES,88,ES52,1, ,-2,2225.29508,1,2,1
2007,ES,89,ES61,1, ,-2,1519.60871,1,3,1
2007,ES,90,ES61,1, ,-2,2168.25684,1,3,1
2007,ES,92,ES61,1, ,-2,1707.40453,1,3,1
2007,ES,93,ES61,1, ,-2,1079.32564,1,3,1
2007,ES,94,ES61,1, ,-2,2046.68632,1,1,1
2007,ES,95,ES61,1, ,-2,2603.10425,1,1,1
2007,ES,96,ES61,1, ,-2,1326.42652,1,1,1
2007,ES,98,ES61,1, ,-2,1866.88914,1,1,1
2007,ES,99,ES61,1, ,-2,2701.94216,1,1,1
2007,ES,100,ES61,1, ,-2,3232.20947,1,1,1
2007,ES,102,ES61,1, ,-2,1812.37041,1,1,1
2007,ES,103,ES61,1, ,-2,1127.16821,1,1,1
2007,ES,105,ES61,1, ,-2,2262.99663,1,1,1
2007,ES,106,ES61,1, ,-2,2698.44109,1,1,1
2007,ES,107,ES61,1, ,-2,3636.58343,1,1,1
2007,ES,108,ES61,1, ,-2,1265.88878,1,1,1
2007,ES,109,ES61,1, ,-2,2547.73379,1,1,1
2007,ES,110,ES61,1, ,-2,2474.36513,1,1,1
2007,ES,111,ES61,1, ,-2,2349.85624,1,3,1
2007,ES,112,ES61,1, ,-2,1991.55893,1,3,1
2007,ES,113,ES61,1, ,-2,2429.72515,1,3,1
2007,ES,115,ES61,1, ,-2,2247.50347,1,3,1
2007,ES,116,ES61,1, ,-2,1501.15338,1,3,1
2007,ES,117,ES61,1, ,-2,2036.11949,1,3,1
2007,ES,118,ES61,1, ,-2,7452.63930,1,3,1
2007,ES,119,ES61,1, ,-2,2514.95628,1,2,1
2007,ES,120,ES61,1, ,-2,1540.74285,1,2,1
2007,ES,122,ES61,1, ,-2,3249.87110,1,2,1
2007,ES,123,ES61,1, ,-2,3461.76650,1,2,1
2007,ES,124,ES61,1, ,-2,2368.07482,1,2,1
2007,ES,125,ES61,1, ,-2,2271.91997,1,3,1
2007,ES,126,ES61,1, ,-2,2447.12049,1,2,1
2007,ES,127,ES41,1, ,-2,1558.45204,1,3,1
2007,ES,128,ES41,1, ,-2,1377.42769,1,3,1
2007,ES,129,ES41,1, ,-2,544.90133,1,3,1
2007,ES,130,ES41,1, ,-2,1697.69272,1,3,1
2007,ES,131,ES41,1, ,-2,1188.64954,1,3,1
2007,ES,132,ES41,1, ,-2,717.26104,1,3,1
2007,ES,133,ES43,1, ,-2,480.68884,1,3,1
2007,ES,134,ES43,1, ,-2,990.11050,1,3,1
2007,ES,135,ES43,1, ,-2,513.94339,1,3,1
2007,ES,136,ES43,1, ,-2,595.79064,1,3,1
2007,ES,137,ES43,1, ,-2,281.33607,1,3,1
2007,ES,138,ES43,1, ,-2,432.00939,1,3,1
2007,ES,139,ES43,1, ,-2,861.91478,1,3,1
2007,ES,140,ES43,1, ,-2,288.02990,1,3,1
2007,ES,143,ES43,1, ,-2,481.84802,1,3,1
2007,ES,144,ES43,1, ,-2,563.70201,1,3,1
2007,ES,145,ES43,1, ,-2,309.27703,1,3,1
2007,ES,146,ES43,1, ,-2,934.53107,1,3,1
2007,ES,147,ES43,1, ,-2,796.72906,1,3,1
2007,ES,148,ES43,1, ,-2,1095.64818,1,3,1
2007,ES,149,ES43,1, ,-2,739.53980,1,3,1
2007,ES,150,ES43,1, ,-2,911.67810,1,3,1
2007,ES,151,ES43,1, ,-2,1123.82860,1,3,1
2007,ES,152,ES43,1, ,-2,763.09957,1,3,1
2007,ES,153,ES43,1, ,-2,671.31892,1,3,1
2007,ES,154,ES43,1, ,-2,925.97152,1,3,1
2007,ES,155,ES43,1, ,-2,810.78218,1,3,1
2007,ES,156,ES43,1, ,-2,519.38996,1,3,1
2007,ES,157,ES43,1, ,-2,821.30251,1,3,1
2007,ES,160,ES43,1, ,-2,1186.90503,1,3,1
2007,ES,161,ES43,1, ,-2,697.16241,1,3,1
2007,ES,162,ES43,1, ,-2,337.13626,1,3,1
2007,ES,163,ES43,1, ,-2,1060.81048,1,3,1
2007,ES,164,ES43,1, ,-2,728.33192,1,3,1
2007,ES,165,ES43,1, ,-2,1098.43846,1,3,1
2007,ES,166,ES43,1, ,-2,264.69587,1,3,1
2007,ES,167,ES43,1, ,-2,430.09419,1,3,1
2007,ES,168,ES43,1, ,-2,491.30313,1,3,1
2007,ES,169,ES43,1, ,-2,1105.73394,1,3,1
2007,ES,170,ES43,1, ,-2,555.33824,1,3,1
2007,ES,171,ES43,1, ,-2,1793.23142,1,3,1
2007,ES,172,ES43,1, ,-2,792.94067,1,3,1
2007,ES,173,ES43,1, ,-2,493.63512,1,3,1
2007,ES,174,ES43,1, ,-2,825.20697,1,3,1
2007,ES,176,ES43,1, ,-2,638.47283,1,3,1
2007,ES,177,ES43,1, ,-2,522.56188,1,3,1
2007,ES,178,ES43,1, ,-2,1262.44825,1,3,1
2007,ES,179,ES43,1, ,-2,1650.27006,1,3,1
2007,ES,180,ES43,1, ,-2,407.47855,1,3,1
2007,ES,182,ES43,1, ,-2,297.34416,1,3,1
2007,ES,183,ES43,1, ,-2,603.45012,1,3,1
2007,ES,184,ES43,1, ,-2,631.18618,1,3,1
2007,ES,185,ES43,1, ,-2,786.63064,1,3,1
2007,ES,186,ES43,1, ,-2,279.41158,1,3,1
2007,ES,187,ES43,1, ,-2,1348.38261,1,3,1
2007,ES,188,ES43,1, ,-2,801.40739,1,3,1
2007,ES,189,ES61,1, ,-2,1200.63536,1,1,1
2007,ES,192,ES43,1, ,-2,669.70215,1,3,1
2007,ES,193,ES43,1, ,-2,904.60401,1,3,1
2007,ES,194,ES30,1, ,-2,930.85696,1,1,1
2007,ES,196,ES53,1, ,-2,91.01580,1,3,1
2007,ES,197,ES53,1, ,-2,673.25822,1,3,1
2007,ES,198,ES53,1, ,-2,576.53664,1,3,1
2007,ES,199,ES53,1, ,-2,693.91372,1,3,1
2007,ES,200,ES53,1, ,-2,779.58961,1,3,1
2007,ES,201,ES53,1, ,-2,726.30571,1,3,1
2007,ES,202,ES53,1, ,-2,1236.85113,1,3,1
2007,ES,203,ES53,1, ,-2,344.50299,1,3,1
2007,ES,204,ES53,1, ,-2,726.30571,1,3,1
2007,ES,205,ES53,1, ,-2,1164.79648,1,3,1
2007,ES,206,ES53,1, ,-2,124.64626,1,3,1
2007,ES,207,ES53,1, ,-2,546.94360,1,3,1
2007,ES,208,ES53,1, ,-2,209.56216,1,3,1
2007,ES,209,ES53,1, ,-2,272.70620,1,3,1
2007,ES,211,ES53,1, ,-2,908.36462,1,2,1
2007,ES,213,ES53,1, ,-2,397.87491,1,2,1
2007,ES,214,ES53,1, ,-2,3083.92709,1,2,1
2007,ES,217,ES53,1, ,-2,1236.85113,1,3,1
2007,ES,218,ES53,1, ,-2,726.30571,1,3,1
2007,ES,219,ES53,1, ,-2,140.00401,1,3,1
2007,ES,220,ES53,1, ,-2,263.96132,1,3,1
2007,ES,221,ES53,1, ,-2,136.51184,1,3,1
2007,ES,222,ES53,1, ,-2,397.87491,1,3,1
2007,ES,223,ES53,1, ,-2,1325.54497,1,3,1
2007,ES,224,ES53,1, ,-2,308.72439,1,1,1
2007,ES,225,ES53,1, ,-2,735.72575,1,3,1
2007,ES,226,ES53,1, ,-2,253.26332,1,3,1
2007,ES,227,ES53,1, ,-2,733.02711,1,3,1
2007,ES,228,ES53,1, ,-2,510.35194,1,3,1
2007,ES,229,ES53,1, ,-2,885.65031,1,3,1
2007,ES,231,ES53,1, ,-2,359.08533,1,2,1
2007,ES,232,ES53,1, ,-2,132.17673,1,2,1
2007,ES,233,ES53,1, ,-2,84.92436,1,2,1
2007,ES,234,ES53,1, ,-2,1374.96049,1,2,1
2007,ES,235,ES53,1, ,-2,1049.12585,1,2,1
2007,ES,236,ES53,1, ,-2,288.35922,1,3,1
2007,ES,237,ES53,1, ,-2,643.63871,1,3,1
2007,ES,238,ES53,1, ,-2,885.65031,1,3,1
2007,ES,239,ES53,1, ,-2,1186.86315,1,3,1
2007,ES,240,ES53,1, ,-2,348.19454,1,3,1
2007,ES,241,ES53,1, ,-2,961.00711,1,3,1
2007,ES,243,ES53,1, ,-2,360.45436,1,1,1
2007,ES,244,ES53,1, ,-2,2002.60348,1,1,1
2007,ES,245,ES53,1, ,-2,1282.56303,1,1,1
2007,ES,246,ES53,1, ,-2,2386.58396,1,1,1
2007,ES,247,ES30,1, ,-2,192.15923,1,1,1
2007,ES,248,ES53,1, ,-2,110.42864,1,1,1
