RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2014,ES,201,2537.64059,1,7,1,1944,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,301,994.07306,1,10,1,1938,1,1,1,1,1,3,1, ,-2, ,-2,302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,302,994.07306,1,3,1,1948,1,2,1,1,1,4,1, ,-2, ,-2,301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,303,994.07306,1,2,1,1971,1,2,1,1,1,2,1,301,1,302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,304,994.07306,1,9,1,2009,1,2,1,1,1,4,1, ,-2,303,1, ,-2,27,1, ,-2,0,1,0,1,0,1,0,1,960.67185,1,0,0
2014,ES,401,1267.63723,1,5,1,1938,1,1,1,1,1,3,1, ,-2, ,-2,402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,402,1267.63723,1,3,1,1945,1,2,1,1,1,4,1, ,-2, ,-2,401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,403,1267.63723,1,9,1,1985,1,1,1,1,1,1,1,401,1,402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,501,1272.33141,1,2,1,1951,1,1,1,1,1,3,1, ,-2,502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,502,1272.33141,1,2,1,1928,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,503,1272.33141,1,3,1,1965,1,1,1,1,1,4,1, ,-2,502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2014,ES,601,2014.04761,1,5,1,1971,1,1,1,1,1,2,1, ,-2, ,-2,602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,602,2014.04761,1,9,1,1975,1,2,1,1,1,1,1, ,-2, ,-2,601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,603,2014.04761,1,7,1,2010,1,1,1,1,1,4,1,601,1,602,1, ,-2,25,1, ,-2,0,1,0,1,0,1,0,1,2154.27070,1,0,0
2014,ES,604,2014.04761,1,2,1,2013,1,2,1,1,1,4,1,601,1,602,1, ,-2,0,1, ,-2, ,-2,0,1,0,1,0,1,1780.03265,1,0,0
2014,ES,701,1636.31230,1,8,1,1961,1,1,1,1,1,2,1, ,-2,702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,702,1636.31230,1,9,1,1930,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,703,1636.31230,1,1,1,1968,1,2,1,1,1,1,1, ,-2,702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,801,916.48235,1,3,1,1965,1,1,1,1,1,2,1,802,1,803,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2014,ES,802,916.48235,1,11,1,1934,1,1,1,1,1,3,1, ,-2, ,-2,803,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,803,916.48235,1,8,1,1936,1,2,1,1,1,3,1, ,-2, ,-2,802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,901,1398.96475,1,12,1,1928,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,1001,2211.76457,1,4,1,1948,1,1,1,1,1,3,1, ,-2, ,-2,1002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,1002,2211.76457,1,12,1,1946,1,2,1,1,1,3,1, ,-2, ,-2,1001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,1101,443.09302,1,3,1,1957,1,1,1,1,1,1,1, ,-2, ,-2,1102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,1102,443.09302,1,6,1,1957,1,2,1,1,1,1,1, ,-2, ,-2,1101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,1103,443.09302,1,5,1,1991,1,2,1,1,1,4,1,1101,1,1102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,1201,2684.87307,1,6,1,1964,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,1301,702.27806,1,7,1,1956,1,1,1,1,1,1,1, ,-2, ,-2,1302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,1302,702.27806,1,9,1,1959,1,2,1,1,1,1,1, ,-2, ,-2,1301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,1401,347.20824,1,8,1,1951,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,1501,90.58163,1,4,1,1959,1,2,1,1,1,1,1, ,-2,1502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2014,ES,1502,90.58163,1,3,1,1930,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,1601,982.12703,1,8,1,1952,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,1701,1467.37156,1,11,1,1966,1,2,1,1,1,2,1, ,-2, ,-2,1702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2014,ES,1702,1467.37156,1,12,1,1965,1,1,1,1,1,1,1, ,-2, ,-2,1701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2014,ES,1703,1467.37156,1,3,1,1997,1,1,1,1,1,4,1, ,-2,1701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1
2014,ES,1801,1536.57565,1,10,1,1943,1,1,1,1,1,3,1, ,-2, ,-2,1802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2014,ES,1802,1536.57565,1,1,1,1945,1,2,1,1,1,4,1, ,-2, ,-2,1801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
