Comunidad Autónoma;year;PIB_;Pob_;PIB_percapita_;PIB(%)_change_;PIB(%)_varnacional_
Andalucía;2004;118493081;7687518;15.41369802;6.913175626;-22.46750652
Andalucía;2005;128578073;7849799;16.37979176;6.267760911;-22.02978433
Andalucía;2006;138535591;7975672;17.36977035;6.043902133;-22.57031355
Andalucía;2007;148025809;8059461;18.36671323;5.73952831;-22.74785915
Andalucía;2008;151226849;8202220;18.43730709;0.38435762;-23.23403401
Andalucía;2009;144878289;8302923;17.44907053;-5.359983232;-23.65143047
Andalucía;2010;144752225;8370975;17.29215832;-0.8992582443;-24.12820292
Andalucía;2011;143389086;8424102;17.02129034;-1.566420891;-24.39185132
Andalucía;2012;138007226;8449985;16.33224509;-4.048137596;-25.05473996
Andalucía;2013;136048003;8440300;16.11885869;-1.306534379;-25.46269485
Andalucía;2014;137722026;8402305;16.39098152;1.688226429;-25.6453452
Andalucía;2015;144745569;8399043;17.23357875;5.14061486;-25.35345293
Andalucía;2016;148405362;8388107;17.69235443;2.662103313;-25.97713316
Andalucía;2017;155462810;8379820;18.55204646;4.85911608;-25.5679285
Andalucía;2018;160621816;8384408;19.15720418;3.261945894;-25.47753989
Andalucía;2019;0;8414240;0.0;;0.0
Aragón;2004;26638692;1249584;21.31804825;4.996687382;7.231985097
Aragón;2005;28663286;1269027;22.58682124;5.951637695;7.516588059
Aragón;2006;31098276;1277471;24.3436258;7.778007112;8.517227087
Aragón;2007;33853480;1296655;26.10831717;7.249090089;9.814062525
Aragón;2008;35141063;1326918;26.48322127;1.435956583;10.26610625
Aragón;2009;33564425;1345473;24.94618993;-5.803792999;9.152284829
Aragón;2010;33828995;1347095;25.11255331;0.6668889413;10.18488921
Aragón;2011;33368344;1346293;24.78535059;-1.302944852;10.09591135
Aragón;2012;31963049;1349467;23.68568405;-4.436760066;8.688654928
Aragón;2013;32082809;1347150;23.81532049;0.5473198054;10.12751243
Aragón;2014;32289054;1325385;24.36201858;2.295573104;10.51378951
Aragón;2015;32876311;1317847;24.94698626;2.401146167;8.056858682
Aragón;2016;34214691;1308563;26.14676634;4.809318718;9.395197295
Aragón;2017;35675662;1308750;27.25934059;4.255112236;9.366327421
Aragón;2018;37038245;1308728;28.30094947;3.821108129;10.09207597
Aragón;2019;0;1319291;0.0;;0.0
Principado de Asturias;2004;18299196;1073761;17.04214998;6.496397772;-14.27622496
Principado de Asturias;2005;19843031;1076635;18.43060183;8.147163681;-12.26762707
Principado de Asturias;2006;21562413;1076896;20.02274407;8.63857978;-10.74408213
Principado de Asturias;2007;23105938;1074862;21.49665538;7.361185397;-9.58302509
Principado de Asturias;2008;23844408;1080138;22.07533482;2.691951019;-8.086664007
Principado de Asturias;2009;22541896;1085289;20.77040862;-5.911240802;-9.118884919
Principado de Asturias;2010;22733586;1084341;20.96534762;0.9385419467;-8.011563942
Principado de Asturias;2011;22375426;1081487;20.68950066;-1.315728038;-8.097752247
Principado de Asturias;2012;21364846;1077360;19.83073996;-4.150707728;-9.000878021
Principado de Asturias;2013;20746770;1068165;19.42281389;-2.057039055;-10.18444706
Principado de Asturias;2014;20652899;1061756;19.45164332;0.1484307293;-11.7612193
Principado de Asturias;2015;21372587;1051229;20.33104775;4.520977611;-11.93689164
Principado de Asturias;2016;21694246;1042608;20.80767268;2.344320536;-12.94298389
Principado de Asturias;2017;22639845;1034960;21.87509179;5.129930314;-12.23564477
Principado de Asturias;2018;23340464;1028244;22.69934374;3.767993078;-11.69844399
Principado de Asturias;2019;0;1022800;0.0;;0.0
