RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2013,ES,101,1525.77214,1,9,1,1964,1,2,1,1,1,1,1, ,-2, ,-2,103,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,102,1525.77214,1,9,1,1993,1,2,1,1,1,4,1,103,1,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,103,1525.77214,1,5,1,1961,1,1,1,1,1,1,1, ,-2, ,-2,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,104,1525.77214,1,4,1,2001,1,2,1,1,1,4,1,103,1,101,1, ,-2, ,-2,30,1,0,1,0,1,0,1,0,1,1554.02859,1,0,0
2013,ES,201,871.70803,1,4,1,1979,1,1,1,1,1,1,1, ,-2, ,-2,202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,202,871.70803,1,8,1,1979,1,2,1,1,1,1,1, ,-2, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,203,871.70803,1,4,1,2010,1,2,1,1,1,4,1,201,1,202,1, ,-2,15,1, ,-2,0,1,0,1,0,1,3,1,863.93772,1,0,0
2013,ES,301,1151.55525,1,2,1,1970,1,2,1,1,1,2,1, ,-2,302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2013,ES,302,1151.55525,1,12,1,1944,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2013,ES,303,1151.55525,1,10,1,2001,1,1,1,1,1,4,1, ,-2,301,1, ,-2, ,-2,38,1,0,1,0,1,0,1,0,1,1124.16606,1,1,1
2013,ES,304,1151.55525,1,4,1,2004,1,2,1,1,1,4,1, ,-2,301,1, ,-2, ,-2,38,1,0,1,0,1,0,1,0,1,1192.44014,1,1,1
2013,ES,401,622.34937,1,10,1,1984,1,2,1,1,1,2,1, ,-2, ,-2,402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2013,ES,402,622.34937,1,6,1,1982,1,1,1,1,1,2,1, ,-2, ,-2,401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2013,ES,403,622.34937,1,10,1,2007,1,1,1,1,1,4,1,402,1,401,1, ,-2,28,1, ,-2,0,1,0,1,0,1,0,1,579.00316,1,1,1
2013,ES,404,622.34937,1,12,1,2010,1,1,1,1,1,4,1,402,1,401,1, ,-2,18,1, ,-2,0,1,0,1,0,1,0,1,661.54928,1,1,1
2013,ES,501,1537.65442,1,8,1,1932,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,701,2150.82867,1,9,1,1981,1,1,1,1,1,1,1, ,-2, ,-2,702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,702,2150.82867,1,7,1,1981,1,2,1,1,1,1,1, ,-2, ,-2,701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1101,3705.30977,1,10,1,1970,1,1,1,1,1,1,1, ,-2, ,-2,1102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1102,3705.30977,1,10,1,1970,1,2,1,1,1,1,1, ,-2, ,-2,1101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1201,1602.39715,1,5,1,1962,1,1,1,1,1,1,1, ,-2, ,-2,1202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1202,1602.39715,1,3,1,1968,1,2,1,1,1,1,1, ,-2, ,-2,1201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1203,1602.39715,1,10,1,1998,1,2,1,1,1,4,1,1201,1,1202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1204,1602.39715,1,8,1,2003,1,2,1,1,1,4,1,1201,1,1202,1, ,-2, ,-2,24,1,0,1,0,1,0,1,6,1,1659.28877,1,0,0
2013,ES,1301,1261.60246,1,5,1,1954,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2013,ES,1401,1049.41183,1,8,1,1958,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1501,1661.02013,1,4,1,1969,1,1,1,1,1,1,1, ,-2, ,-2,1502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1502,1661.02013,1,4,1,1969,1,2,1,1,1,1,1, ,-2, ,-2,1501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1503,1661.02013,1,1,1,1999,1,2,1,1,1,4,1,1501,1,1502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1504,1661.02013,1,4,1,2001,1,1,1,1,1,4,1,1501,1,1502,1, ,-2, ,-2,30,1,0,1,0,1,0,1,0,1,1691.78130,1,0,0
2013,ES,1601,1698.34889,1,9,1,1960,1,1,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1602,1698.34889,1,2,1,1990,1,1,1,2,1,4,1,1601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1701,886.15098,1,3,1,1931,1,2,1,1,1,4,1, ,-2, ,-2,1702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,1702,886.15098,1,3,1,1931,1,1,1,1,1,3,1, ,-2, ,-2,1701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,1801,626.05736,1,2,1,1951,1,1,1,1,1,3,1, ,-2, ,-2,1802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,1802,626.05736,1,12,1,1951,1,2,1,1,1,4,1, ,-2, ,-2,1801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,1901,515.00939,1,4,1,1942,1,1,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,1902,515.00939,1,11,1,1972,1,1,1,1,1,1,1,1901,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,1903,515.00939,1,8,1,1983,1,1,1,1,1,1,1,1901,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2001,7193.01686,1,12,1,1976,1,2,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2201,1159.78159,1,12,1,1927,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,2301,2324.13726,1,8,1,1963,1,1,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2401,391.63811,1,11,1,1956,1,2,1,1,1,1,1, ,-2, ,-2,2402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2402,391.63811,1,3,1,1957,1,1,1,1,1,1,1, ,-2, ,-2,2401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2403,391.63811,1,5,1,1982,1,1,1,1,1,4,1,2402,1,2401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2404,391.63811,1,8,1,1989,1,2,1,1,1,4,1,2402,1,2401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2501,1038.94866,1,8,1,1948,1,1,1,1,1,1,1, ,-2, ,-2,2502,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,2502,1038.94866,1,7,1,1951,1,2,1,1,1,4,1, ,-2, ,-2,2501,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,2601,587.91543,1,2,1,1951,1,1,1,1,1,1,1, ,-2, ,-2,2602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,2602,587.91543,1,7,1,1953,1,2,1,1,1,1,1, ,-2, ,-2,2601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2603,587.91543,1,5,1,1990,1,1,1,1,1,4,1,2601,1,2602,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2701,306.38239,1,8,1,1955,1,1,1,1,1,1,1, ,-2, ,-2,2702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2702,306.38239,1,7,1,1957,1,2,1,1,1,4,1, ,-2, ,-2,2701,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2703,306.38239,1,7,1,1982,1,1,1,1,1,2,1,2701,1,2702,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2801,743.39385,1,4,1,1935,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2013,ES,2802,743.39385,1,2,1,1963,1,2,1,1,1,1,1, ,-2,2801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2803,743.39385,1,11,1,1968,1,1,1,1,1,1,1, ,-2,2801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2901,961.34859,1,3,1,1967,1,1,1,1,1,1,1, ,-2, ,-2,2902,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2902,961.34859,1,10,1,1967,1,2,1,1,1,1,1, ,-2, ,-2,2901,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2013,ES,2903,961.34859,1,1,1,2003,1,2,1,1,1,4,1,2901,1,2902,1, ,-2, ,-2,25,1,0,1,0,1,0,1,0,1,1009.68612,1,0,0
