DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2015,ES,1,ES21,1,1,2,709.58960,1,2,1
2015,ES,2,ES21,1,1,2,1365.57603,1,2,1
2015,ES,3,ES21,1,1,2,1489.92338,1,2,1
2015,ES,4,ES21,1,1,2,2460.63934,1,2,1
2015,ES,7,ES21,1,5,2,4325.49600,1,1,1
2015,ES,8,ES21,1,5,2,809.88404,1,1,1
2015,ES,10,ES21,1,5,2,819.83223,1,1,1
2015,ES,12,ES21,1,5,2,1089.75261,1,1,1
2015,ES,13,ES21,1,5,2,1550.61058,1,1,1
2015,ES,14,ES21,1,8,2,1783.10664,1,1,1
2015,ES,15,ES21,1,8,2,1293.95337,1,1,1
2015,ES,16,ES21,1,8,2,1774.56868,1,1,1
2015,ES,17,ES21,1,8,2,1506.54556,1,1,1
2015,ES,18,ES21,1,8,2,2264.59198,1,1,1
2015,ES,19,ES21,1,14,2,1658.67660,1,1,1
2015,ES,20,ES21,1,14,2,1301.96279,1,1,1
2015,ES,21,ES21,1,14,2,1566.25713,1,1,1
2015,ES,22,ES21,1,14,2,2341.77735,1,1,1
2015,ES,25,ES21,1,14,2,1444.18420,1,1,1
2015,ES,27,ES42,1,23,2,2011.34337,1,1,1
2015,ES,28,ES42,1,23,2,1251.80038,1,1,1
2015,ES,29,ES42,1,23,2,1786.87745,1,1,1
2015,ES,30,ES30,1,23,2,1699.64739,1,1,1
2015,ES,31,ES42,1,23,2,966.73510,1,1,1
2015,ES,32,ES42,1,23,2,2148.53157,1,1,1
2015,ES,33,ES42,1,30,2,1429.59210,1,3,1
2015,ES,34,ES42,1,30,2,624.59728,1,3,1
2015,ES,35,ES42,1,30,2,2179.98224,1,3,1
2015,ES,36,ES42,1,30,2,1978.65386,1,3,1
2015,ES,37,ES42,1,30,2,2331.73428,1,3,1
2015,ES,38,ES42,1,30,2,2950.84835,1,3,1
2015,ES,39,ES42,1,30,2,1769.76446,1,3,1
2015,ES,40,ES42,1,30,2,1222.57288,1,3,1
2015,ES,42,ES42,1,35,2,2910.38876,1,3,1
2015,ES,43,ES42,1,35,2,1529.94141,1,3,1
2015,ES,44,ES42,1,35,2,193.41018,1,3,1
2015,ES,45,ES42,1,35,2,2035.23266,1,3,1
2015,ES,46,ES52,1,39,2,3134.10940,1,2,1
2015,ES,47,ES52,1,39,2,2691.54732,1,2,1
2015,ES,49,ES52,1,39,2,2426.78596,1,2,1
2015,ES,50,ES52,1,39,2,1608.02137,1,2,1
2015,ES,51,ES52,1,39,2,2082.78209,1,2,1
2015,ES,52,ES52,1,39,2,2661.38930,1,2,1
2015,ES,53,ES52,1,39,2,3418.71786,1,2,1
2015,ES,54,ES52,1,39,2,2731.06012,1,2,1
2015,ES,55,ES52,1,44,2,873.64260,1,1,1
2015,ES,56,ES52,1,44,2,1067.03495,1,2,1
2015,ES,57,ES52,1,44,2,2446.25821,1,1,1
2015,ES,58,ES52,1,44,2,2790.55691,1,1,1
2015,ES,59,ES52,1,44,2,2566.70545,1,1,1
2015,ES,60,ES52,1,46,2,3106.94876,1,1,1
2015,ES,61,ES52,1,46,2,1604.47975,1,1,1
2015,ES,62,ES52,1,46,2,1140.05566,1,1,1
2015,ES,63,ES52,1,46,2,4936.89822,1,1,1
2015,ES,64,ES52,1,46,2,3330.50506,1,1,1
2015,ES,65,ES52,1,46,2,2246.15668,1,1,1
2015,ES,66,ES52,1,66,2,3337.84552,1,1,1
2015,ES,67,ES52,1,66,2,1165.38570,1,1,1
2015,ES,68,ES52,1,66,2,2286.52488,1,1,1
2015,ES,69,ES52,1,66,2,2933.41775,1,1,1
2015,ES,70,ES52,1,66,2,3217.58402,1,1,1
2015,ES,71,ES52,1,66,2,3704.62340,1,1,1
2015,ES,72,ES52,1,66,2,2130.03834,1,1,1
2015,ES,73,ES52,1,66,2,2841.72689,1,1,1
2015,ES,74,ES52,1,67,2,2949.92698,1,1,1
2015,ES,75,ES52,1,67,2,4967.30392,1,1,1
2015,ES,76,ES52,1,67,2,2833.45924,1,1,1
2015,ES,77,ES52,1,67,2,972.39135,1,1,1
2015,ES,78,ES52,1,67,2,2676.97452,1,1,1
2015,ES,79,ES52,1,76,2,5095.31793,1,2,1
2015,ES,80,ES52,1,76,2,900.09092,1,2,1
2015,ES,81,ES52,1,76,2,3005.22241,1,2,1
2015,ES,82,ES52,1,79,2,2760.18710,1,2,1
2015,ES,83,ES52,1,79,2,3522.80217,1,2,1
2015,ES,84,ES52,1,79,2,3023.00579,1,2,1
2015,ES,85,ES52,1,79,2,1855.33583,1,2,1
2015,ES,86,ES52,1,79,2,2105.46460,1,2,1
2015,ES,87,ES52,1,79,2,1984.22088,1,2,1
2015,ES,88,ES52,1,79,2,2343.52370,1,2,1
2015,ES,89,ES52,1,83,2,1389.42839,1,2,1
2015,ES,92,ES52,1,83,2,1522.68851,1,2,1
2015,ES,94,ES61,1,97,2,4841.43530,1,3,1
2015,ES,95,ES61,1,97,2,1099.25891,1,3,1
2015,ES,96,ES61,1,97,2,2135.96668,1,3,1
2015,ES,97,ES61,1,97,2,1271.06628,1,3,1
2015,ES,98,ES61,1,97,2,1710.05262,1,3,1
2015,ES,99,ES61,1,97,2,3340.14791,1,3,1
2015,ES,100,ES61,1,97,2,1381.17172,1,3,1
2015,ES,102,ES61,1,99,2,2600.18628,1,1,1
2015,ES,103,ES61,1,99,2,2346.31498,1,1,1
2015,ES,104,ES61,1,99,2,1727.10140,1,1,1
2015,ES,105,ES61,1,99,2,1110.23835,1,1,1
2015,ES,106,ES61,1,99,2,1649.96488,1,1,1
2015,ES,107,ES61,1,99,2,2701.61866,1,1,1
2015,ES,108,ES61,1,101,2,1683.55167,1,1,1
2015,ES,109,ES61,1,101,2,3240.00881,1,1,1
2015,ES,110,ES61,1,101,2,2292.51998,1,1,1
2015,ES,111,ES61,1,101,2,3055.30566,1,1,1
2015,ES,112,ES61,1,101,2,3409.64502,1,1,1
2015,ES,114,ES61,1,101,2,1946.30661,1,1,1
2015,ES,115,ES61,1,101,2,931.92332,1,1,1
2015,ES,117,ES61,1,109,2,5706.03378,1,3,1
2015,ES,118,ES61,1,109,2,1711.48491,1,3,1
2015,ES,119,ES61,1,109,2,1098.69067,1,3,1
2015,ES,120,ES61,1,109,2,937.38400,1,3,1
2015,ES,121,ES61,1,109,2,2391.92960,1,3,1
2015,ES,122,ES61,1,109,2,5989.93697,1,3,1
2015,ES,123,ES61,1,111,2,4259.20391,1,2,1
2015,ES,124,ES61,1,111,2,11788.95167,1,2,1
2015,ES,126,ES61,1,111,2,2494.21375,1,2,1
2015,ES,127,ES61,1,111,2,8043.42817,1,2,1
2015,ES,129,ES61,1,112,2,17117.91578,1,3,1
2015,ES,130,ES61,1,112,2,6858.93831,1,3,1
2015,ES,131,ES61,1,112,2,3834.71260,1,2,1
2015,ES,132,ES61,1,112,2,2750.26818,1,3,1
2015,ES,133,ES61,1,112,2,3098.23051,1,3,1
2015,ES,134,ES61,1,112,2,3009.38527,1,3,1
2015,ES,135,ES61,1,112,2,4737.52051,1,3,1
2015,ES,136,ES41,1,121,2,1760.59690,1,3,1
2015,ES,138,ES41,1,121,2,585.17500,1,3,1
2015,ES,139,ES41,1,121,2,2077.73957,1,3,1
2015,ES,140,ES41,1,121,2,1962.10864,1,3,1
2015,ES,142,ES41,1,121,2,729.60623,1,3,1
2015,ES,144,ES41,1,121,2,987.46194,1,3,1
2015,ES,145,ES43,1,124,2,887.65418,1,3,1
2015,ES,146,ES43,1,124,2,1135.95252,1,3,1
2015,ES,147,ES43,1,124,2,630.22517,1,3,1
2015,ES,148,ES43,1,124,2,739.17807,1,3,1
2015,ES,149,ES43,1,124,2,1326.17424,1,3,1
2015,ES,150,ES43,1,124,2,178.77546,1,3,1
2015,ES,151,ES43,1,126,2,598.58643,1,1,1
2015,ES,152,ES43,1,126,2,882.26575,1,1,1
2015,ES,153,ES43,1,126,2,1000.36283,1,1,1
2015,ES,154,ES43,1,126,2,1178.17566,1,1,1
2015,ES,155,ES43,1,127,2,748.42971,1,1,1
2015,ES,156,ES43,1,127,2,1606.88859,1,1,1
2015,ES,157,ES43,1,127,2,749.90535,1,1,1
2015,ES,158,ES43,1,142,2,277.87811,1,3,1
2015,ES,159,ES43,1,142,2,1621.00466,1,3,1
2015,ES,160,ES43,1,142,2,826.67042,1,3,1
2015,ES,161,ES43,1,142,2,2158.15883,1,3,1
2015,ES,162,ES43,1,142,2,1454.94014,1,3,1
2015,ES,163,ES43,1,144,2,326.96552,1,3,1
2015,ES,164,ES43,1,144,2,1570.30246,1,3,1
2015,ES,165,ES43,1,144,2,554.74168,1,3,1
2015,ES,166,ES43,1,144,2,1028.38665,1,3,1
2015,ES,167,ES43,1,144,2,1464.84238,1,3,1
2015,ES,168,ES43,1,144,2,3429.21713,1,3,1
2015,ES,169,ES43,1,144,2,654.55702,1,3,1
2015,ES,170,ES43,1,148,2,642.52476,1,3,1
2015,ES,171,ES43,1,148,2,1572.87121,1,3,1
2015,ES,172,ES43,1,148,2,1912.21263,1,3,1
2015,ES,173,ES43,1,148,2,1079.82208,1,3,1
2015,ES,174,ES43,1,148,2,658.64242,1,3,1
2015,ES,175,ES43,1,148,2,653.86456,1,3,1
2015,ES,176,ES43,1,148,2,1102.14621,1,3,1
2015,ES,177,ES43,1,148,2,702.68685,1,3,1
2015,ES,180,ES43,1,149,2,1336.37478,1,3,1
2015,ES,181,ES30,1,149,2,1764.70367,1,1,1
2015,ES,182,ES43,1,149,2,858.48180,1,3,1
2015,ES,183,ES43,1,149,2,964.44167,1,3,1
2015,ES,184,ES43,1,149,2,925.91846,1,3,1
2015,ES,186,ES43,1,157,2,586.39551,1,3,1
2015,ES,187,ES43,1,157,2,323.64112,1,3,1
2015,ES,188,ES43,1,157,2,310.59505,1,3,1
2015,ES,189,ES43,1,157,2,698.99230,1,3,1
2015,ES,190,ES43,1,157,2,1223.55656,1,3,1
2015,ES,191,ES43,1,157,2,1616.92999,1,3,1
2015,ES,192,ES43,1,157,2,1186.01690,1,3,1
2015,ES,193,ES43,1,157,2,787.67204,1,3,1
2015,ES,194,ES43,1,157,2,1033.09095,1,3,1
2015,ES,195,ES43,1,157,2,653.72634,1,3,1
2015,ES,196,ES43,1,157,2,998.79572,1,3,1
2015,ES,197,ES43,1,161,2,658.64242,1,3,1
2015,ES,198,ES43,1,161,2,784.73784,1,3,1
2015,ES,199,ES43,1,161,2,682.71052,1,3,1
2015,ES,201,ES43,1,161,2,501.64972,1,3,1
2015,ES,202,ES43,1,161,2,1136.37695,1,3,1
2015,ES,203,ES43,1,162,2,427.90080,1,3,1
2015,ES,204,ES43,1,162,2,271.48392,1,3,1
2015,ES,205,ES43,1,162,2,251.81766,1,3,1
2015,ES,206,ES43,1,162,2,1384.85728,1,3,1
2015,ES,207,ES43,1,162,2,368.57472,1,3,1
2015,ES,208,ES43,1,162,2,871.02521,1,3,1
2015,ES,210,ES43,1,162,2,682.71052,1,3,1
2015,ES,211,ES53,1,171,2,894.22305,1,3,1
2015,ES,212,ES53,1,171,2,818.48512,1,3,1
2015,ES,213,ES53,1,171,2,994.41165,1,3,1
2015,ES,214,ES53,1,175,2,1223.03076,1,2,1
2015,ES,217,ES53,1,175,2,1672.37683,1,2,1
2015,ES,219,ES53,1,178,2,1630.58973,1,3,1
2015,ES,220,ES53,1,178,2,1762.80158,1,3,1
2015,ES,221,ES53,1,178,2,1946.19069,1,3,1
2015,ES,222,ES53,1,178,2,1426.35033,1,3,1
2015,ES,223,ES53,1,179,2,566.21605,1,3,1
2015,ES,224,ES53,1,179,2,2221.73260,1,3,1
2015,ES,225,ES53,1,179,2,505.12262,1,3,1
2015,ES,226,ES53,1,179,2,436.62645,1,3,1
2015,ES,227,ES53,1,179,2,1427.29711,1,3,1
2015,ES,228,ES53,1,180,2,690.62461,1,2,1
2015,ES,229,ES53,1,180,2,730.29012,1,2,1
2015,ES,230,ES53,1,180,2,490.89140,1,2,1
2015,ES,231,ES53,1,180,2,693.13013,1,2,1
2015,ES,232,ES53,1,180,2,1700.04502,1,2,1
2015,ES,233,ES53,1,180,2,1179.49808,1,2,1
2015,ES,234,ES53,1,180,2,1388.35643,1,2,1
2015,ES,235,ES53,1,180,2,1201.89507,1,2,1
2015,ES,236,ES53,1,185,2,584.76256,1,2,1
2015,ES,237,ES53,1,185,2,942.83089,1,2,1
2015,ES,238,ES53,1,185,2,824.17553,1,2,1
2015,ES,239,ES53,1,185,2,1917.59332,1,2,1
2015,ES,242,ES53,1,191,2,529.94823,1,3,1
2015,ES,243,ES53,1,191,2,3179.18223,1,3,1
2015,ES,244,ES53,1,204,2,676.48094,1,1,1
2015,ES,245,ES53,1,204,2,431.69135,1,1,1
2015,ES,246,ES53,1,204,2,406.53238,1,1,1
2015,ES,247,ES53,1,204,2,1132.56061,1,1,1
2015,ES,248,ES53,1,204,2,727.98330,1,1,1
2015,ES,249,ES53,1,205,2,881.52188,1,1,1
2015,ES,250,ES53,1,205,2,2664.05813,1,1,1
2015,ES,251,ES53,1,205,2,788.06589,1,1,1
2015,ES,252,ES53,1,205,2,1387.90677,1,1,1
2015,ES,253,ES53,1,205,2,494.37073,1,1,1
2015,ES,254,ES53,1,205,2,1488.51982,1,1,1
2015,ES,255,ES53,1,205,2,2495.12569,1,1,1
2015,ES,256,ES53,1,209,2,420.39547,1,1,1
2015,ES,257,ES53,1,209,2,621.97495,1,1,1
2015,ES,258,ES53,1,209,2,1029.24988,1,1,1
2015,ES,259,ES53,1,209,2,1029.24988,1,1,1
2015,ES,260,ES53,1,209,2,456.77848,1,1,1
2015,ES,261,ES53,1,209,2,454.71932,1,1,1
2015,ES,262,ES53,1,211,2,542.88385,1,1,1
2015,ES,263,ES53,1,211,2,836.66046,1,1,1
2015,ES,265,ES53,1,211,2,588.74712,1,1,1
2015,ES,266,ES53,1,211,2,870.37036,1,1,1
2015,ES,267,ES53,1,211,2,220.31069,1,1,1
2015,ES,268,ES53,1,213,2,629.50217,1,1,1
2015,ES,269,ES53,1,213,2,1784.41541,1,1,1
2015,ES,270,ES53,1,213,2,709.65754,1,1,1
2015,ES,271,ES53,1,213,2,577.43761,1,1,1
2015,ES,272,ES53,1,213,2,339.61308,1,1,1
2015,ES,273,ES53,1,213,2,463.00556,1,1,1
2015,ES,274,ES53,1,217,2,494.51977,1,1,1
2015,ES,275,ES53,1,217,2,287.63416,1,1,1
2015,ES,276,ES53,1,217,2,1262.64034,1,1,1
2015,ES,278,ES53,1,217,2,727.55722,1,1,1
2015,ES,279,ES53,1,217,2,797.23795,1,1,1
2015,ES,280,ES53,1,217,2,1022.68434,1,1,1
2015,ES,281,ES53,1,217,2,990.42813,1,1,1
2015,ES,282,ES53,1,222,2,1027.32734,1,1,1
2015,ES,283,ES53,1,222,2,912.72834,1,1,1
2015,ES,284,ES53,1,222,2,826.54238,1,1,1
2015,ES,285,ES53,1,222,2,764.42425,1,1,1
2015,ES,286,ES53,1,222,2,399.71659,1,1,1
2015,ES,287,ES53,1,222,2,217.27833,1,1,1
2015,ES,288,ES53,1,231,2,11736.13163,1,2,1
2015,ES,289,ES53,1,231,2,1101.83848,1,2,1
2015,ES,290,ES53,1,231,2,617.10169,1,2,1
2015,ES,291,ES53,1,231,2,2348.12653,1,2,1
2015,ES,292,ES51,1,231,2,2692.53005,1,1,1
2015,ES,295,ES53,1,235,2,1342.61401,1,3,1
2015,ES,296,ES53,1,235,2,1720.32649,1,3,1
2015,ES,297,ES53,1,235,2,1482.50954,1,3,1
2015,ES,298,ES53,1,235,2,1871.65116,1,3,1
2015,ES,299,ES53,1,239,2,1515.71963,1,3,1
2015,ES,300,ES53,1,239,2,757.95249,1,3,1
2015,ES,301,ES53,1,239,2,1031.32068,1,3,1
2015,ES,303,ES53,1,239,2,1515.71963,1,3,1
2015,ES,304,ES53,1,239,2,1839.92488,1,3,1
2015,ES,305,ES53,1,239,2,2417.56105,1,3,1
2015,ES,306,ES53,1,241,2,1124.42438,1,2,1
2015,ES,307,ES53,1,241,2,1810.32854,1,2,1
2015,ES,308,ES53,1,241,2,1554.32938,1,2,1
2015,ES,309,ES51,1,244,2,3267.69689,1,2,1
2015,ES,310,ES51,1,244,2,2437.14706,1,2,1
2015,ES,311,ES51,1,244,2,1555.54166,1,2,1
2015,ES,312,ES51,1,244,2,7887.42929,1,2,1
2015,ES,313,ES51,1,244,2,3523.57561,1,2,1
2015,ES,314,ES51,1,244,2,3150.39974,1,2,1
2015,ES,315,ES51,1,246,2,923.71480,1,1,1
2015,ES,316,ES51,1,246,2,3225.62766,1,1,1
2015,ES,317,ES51,1,246,2,3794.67957,1,1,1
2015,ES,318,ES51,1,246,2,2589.06247,1,1,1
2015,ES,319,ES51,1,246,2,4298.16364,1,1,1
2015,ES,320,ES51,1,246,2,634.97863,1,1,1
2015,ES,322,ES51,1,247,2,2725.69866,1,1,1
2015,ES,323,ES51,1,247,2,1255.37831,1,1,1
2015,ES,324,ES51,1,247,2,2995.86159,1,1,1
2015,ES,325,ES51,1,247,2,3719.99651,1,1,1
2015,ES,326,ES51,1,247,2,909.93579,1,1,1
2015,ES,327,ES51,1,252,2,2178.38223,1,1,1
2015,ES,329,ES51,1,252,2,1310.34119,1,1,1
2015,ES,330,ES51,1,252,2,1183.03463,1,1,1
2015,ES,332,ES51,1,255,2,1504.47400,1,1,1
2015,ES,333,ES51,1,255,2,1931.28237,1,1,1
2015,ES,334,ES51,1,255,2,3512.25167,1,1,1
2015,ES,336,ES51,1,255,2,2777.45157,1,1,1
2015,ES,337,ES51,1,255,2,2581.84126,1,1,1
2015,ES,338,ES51,1,255,2,1897.15818,1,1,1
2015,ES,339,ES51,1,255,2,1874.43637,1,1,1
2015,ES,340,ES51,1,255,2,2538.11858,1,1,1
2015,ES,341,ES51,1,259,2,1685.49877,1,1,1
2015,ES,342,ES51,1,259,2,2308.20482,1,1,1
2015,ES,343,ES51,1,259,2,3130.75268,1,1,1
2015,ES,344,ES51,1,259,2,3742.80199,1,1,1
2015,ES,345,ES51,1,259,2,2967.54392,1,1,1
2015,ES,346,ES51,1,259,2,1823.66638,1,1,1
2015,ES,347,ES61,1,262,2,1744.48548,1,3,1
2015,ES,348,ES51,1,262,2,2398.03682,1,1,1
2015,ES,349,ES51,1,262,2,1335.02322,1,1,1
2015,ES,350,ES51,1,262,2,2377.11744,1,1,1
