RB010,RB020,RB030,RB050,RB050_F,RB070,RB070_F,RB080,RB080_F,RB090,RB090_F,RB200,RB200_F,RB210,RB210_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020
2010,ES,101,1160.33666,1,6,1,1956,1,2,1,1,1,1,1, ,-2, ,-2,102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,102,1160.33666,1,3,1,1946,1,1,1,1,1,3,1, ,-2, ,-2,101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2010,ES,201,1760.97281,1,1,1,1944,1,1,1,1,1,3,1, ,-2, ,-2,202,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2010,ES,202,1760.97281,1,12,1,1947,1,2,1,1,1,3,1, ,-2, ,-2,201,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2010,ES,1001,1232.29148,1,8,1,1934,1,2,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2010,ES,1002,1232.29148,1,5,1,1969,1,1,1,2,1,1,1, ,-2,1001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,1101,3070.17836,1,1,1,1974,1,1,1,1,1,2,1, ,-2, ,-2,1102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2010,ES,1102,3070.17836,1,6,1,1986,1,2,1,1,1,4,1, ,-2, ,-2,1101,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2010,ES,1401,2262.12972,1,5,1,1980,1,2,1,1,1,1,1, ,-2, ,-2,1402,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,1402,2262.12972,1,12,1,1979,1,1,1,1,1,1,1, ,-2, ,-2,1401,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,1403,2262.12972,1,3,1,2008,1,2,1,1,1,4,1,1402,1,1401,1, ,-2,10,1, ,-2,0,1,0,1,0,1,0,1,2478.42528,1,0,0
2010,ES,2301,919.41349,1,1,1,1959,1,1,1,1,1,1,1, ,-2, ,-2,2302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,2302,919.41349,1,5,1,1962,1,2,1,1,1,1,1, ,-2, ,-2,2301,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,2303,919.41349,1,4,1,1988,1,2,1,2,1,4,1,2301,1,2302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,2304,919.41349,1,10,1,1990,1,1,1,1,1,4,1,2301,1,2302,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,2801,1620.77743,1,2,1,1947,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2010,ES,3001,45.19479,1,2,1,1950,1,1,1,1,1,1,1, ,-2, ,-2,3002,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,3002,45.19479,1,8,1,1953,1,2,1,1,1,4,1, ,-2, ,-2,3001,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,3101,662.89273,1,3,1,1940,1,1,1,1,1,3,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1
2010,ES,3901,213.98192,1,12,1,1953,1,1,1,1,1,3,1, ,-2, ,-2,3902,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2010,ES,3902,213.98192,1,5,1,1957,1,2,1,1,1,4,1, ,-2, ,-2,3901,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2010,ES,3903,213.98192,1,3,1,1984,1,2,1,1,1,4,1,3901,1,3902,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,1,1
2010,ES,4001,188.88371,1,1,1,1932,1,2,1,1,1,4,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2010,ES,4601,1801.23086,1,8,1,1961,1,1,1,1,1,1,1, ,-2, ,-2,4604,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,4602,1801.23086,1,7,1,1987,1,1,1,1,1,4,1,4601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,4603,1801.23086,1,3,1,1987,1,2,1,1,1,4,1, ,-2,4604,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,4604,1801.23086,1,7,1,1959,1,2,1,1,1,1,1, ,-2, ,-2,4601,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,4801,542.44911,1,11,1,1942,1,1,1,1,1,3,1, ,-2, ,-2,4802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2010,ES,4802,542.44911,1,10,1,1944,1,2,1,1,1,4,1, ,-2, ,-2,4801,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0
2010,ES,4803,542.44911,1,2,1,1986,1,1,1,1,1,1,1,4801,1,4802,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
2010,ES,5101,185.61903,1,10,1,1952,1,1,1,1,1,1,1, ,-2, ,-2,5102,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0
