DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2016,ES,1,ES21,1,2,2,455.29888,1,3,1
2016,ES,2,ES21,1,2,2,1140.57520,1,3,1
2016,ES,3,ES21,1,2,2,600.90505,1,3,1
2016,ES,4,ES21,1,2,2,1487.33262,1,3,1
2016,ES,6,ES21,1,2,2,1315.18729,1,3,1
2016,ES,7,ES21,1,2,2,1487.33262,1,3,1
2016,ES,8,ES21,1,2,2,689.74995,1,3,1
2016,ES,9,ES21,1,3,2,1045.33332,1,2,1
2016,ES,10,ES21,1,3,2,2353.21069,1,2,1
2016,ES,11,ES21,1,3,2,2337.45256,1,2,1
2016,ES,12,ES21,1,3,2,2223.30297,1,2,1
2016,ES,13,ES21,1,3,2,4025.33691,1,2,1
2016,ES,14,ES21,1,10,2,1042.94014,1,1,1
2016,ES,15,ES21,1,10,2,1980.82615,1,1,1
2016,ES,16,ES21,1,10,2,1642.35870,1,1,1
2016,ES,17,ES21,1,10,2,1502.46768,1,1,1
2016,ES,18,ES21,1,10,2,1502.46768,1,1,1
2016,ES,19,ES21,1,10,2,2798.02722,1,1,1
2016,ES,20,ES21,1,11,2,1325.70416,1,1,1
2016,ES,21,ES21,1,11,2,1680.98755,1,1,1
2016,ES,22,ES21,1,11,2,1371.78565,1,1,1
2016,ES,24,ES21,1,11,2,1144.63844,1,1,1
2016,ES,25,ES21,1,12,2,1264.23449,1,1,1
2016,ES,26,ES21,1,12,2,3970.46137,1,1,1
2016,ES,27,ES21,1,12,2,1571.62594,1,1,1
2016,ES,28,ES21,1,12,2,1717.77653,1,1,1
2016,ES,29,ES21,1,12,2,2211.37403,1,1,1
2016,ES,33,ES21,1,16,2,1039.84380,1,1,1
2016,ES,34,ES21,1,16,2,1822.90564,1,1,1
2016,ES,35,ES21,1,16,2,888.97064,1,1,1
2016,ES,36,ES41,1,16,2,1982.98170,1,1,1
2016,ES,37,ES21,1,16,2,912.88373,1,1,1
2016,ES,38,ES21,1,16,2,780.42371,1,1,1
2016,ES,39,ES21,1,16,2,1529.29332,1,1,1
2016,ES,40,ES42,1,17,2,1812.90993,1,1,1
2016,ES,41,ES42,1,17,2,827.85615,1,1,1
2016,ES,42,ES42,1,17,2,1338.30424,1,1,1
2016,ES,43,ES42,1,17,2,480.43517,1,1,1
2016,ES,44,ES42,1,19,2,811.41850,1,1,1
2016,ES,45,ES42,1,19,2,721.85888,1,1,1
2016,ES,46,ES42,1,19,2,1581.85230,1,1,1
2016,ES,47,ES42,1,19,2,1257.29259,1,1,1
2016,ES,48,ES42,1,19,2,3238.32125,1,1,1
2016,ES,49,ES42,1,19,2,896.31219,1,1,1
2016,ES,50,ES42,1,22,2,1596.55484,1,1,1
2016,ES,51,ES42,1,22,2,731.73429,1,1,1
2016,ES,52,ES42,1,22,2,656.31326,1,1,1
2016,ES,53,ES42,1,22,2,1026.60274,1,1,1
2016,ES,54,ES42,1,22,2,1086.50471,1,1,1
2016,ES,55,ES42,1,22,2,1359.69625,1,1,1
2016,ES,56,ES42,1,24,2,983.38685,1,1,1
2016,ES,57,ES42,1,24,2,831.03484,1,1,1
2016,ES,58,ES42,1,24,2,719.20939,1,1,1
2016,ES,59,ES42,1,24,2,933.99911,1,1,1
2016,ES,60,ES42,1,24,2,1644.94009,1,1,1
2016,ES,61,ES42,1,24,2,1501.86344,1,1,1
2016,ES,62,ES42,1,28,2,1485.04136,1,3,1
2016,ES,63,ES42,1,28,2,8283.74323,1,3,1
2016,ES,64,ES42,1,28,2,1891.16162,1,3,1
2016,ES,66,ES42,1,28,2,919.74030,1,3,1
2016,ES,67,ES42,1,32,2,3839.90704,1,3,1
2016,ES,68,ES42,1,32,2,1485.04136,1,3,1
2016,ES,69,ES42,1,32,2,1533.13197,1,3,1
2016,ES,70,ES42,1,32,2,1663.90679,1,3,1
2016,ES,71,ES42,1,32,2,1264.94818,1,3,1
